Feelings	Functions	Attributes	Numbers
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Focus, 	 Horizontal Circulation,         	X LENGTH = 86.383181, Y Length = 31.515819, Height = 31.515169, Number of Points = 16.228436, Distribution Seed = 31.950437, Mesh Relaxation = 0.869032, Smooth Level = 2, 	161
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Anger, Apprehension, Amazement, Surprise, Focus, 	Habitation,   Facilities, Work,    Arts Space,  	X LENGTH = 39.827259, Y Length = 92.982177, Height = 83.370474, Number of Points = 70.516397, Distribution Seed = 91.346405, Mesh Relaxation = 0.890675, Smooth Level = 2, 	162
Pensiveness, Joy, Grief, Loathing, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,    Work,      	X LENGTH = 24.881658, Y Length = 83.740786, Height = 34.579422, Number of Points = 68.873815, Distribution Seed = 69.897652, Mesh Relaxation = 0.175353, Smooth Level = 2, 	163
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	  Vertical Circulation,        	X LENGTH = 47.653877, Y Length = 35.874763, Height = 68.387544, Number of Points = 33.573529, Distribution Seed = 3.319451, Mesh Relaxation = 0.289787, Smooth Level = 2, 	164
Pensiveness, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation,        	X LENGTH = 23.836979, Y Length = 49.558687, Height = 54.07892, Number of Points = 17.221626, Distribution Seed = 9.80534, Mesh Relaxation = 0.18831, Smooth Level = 2, 	165
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Anger, Apprehension, Amazement, Anticipation, Distraction, 	  Vertical Circulation,        	X LENGTH = 73.292488, Y Length = 28.768514, Height = 47.087436, Number of Points = 66.083298, Distribution Seed = 67.32573, Mesh Relaxation = 0.138853, Smooth Level = 2, 	166
Pensiveness, Sadness, Ecstasy, Admiration, Disgust, Boredom, Terror, Anger, Annoyance, Amazement, Surprise, Distraction, 	Habitation,          	X LENGTH = 25.450549, Y Length = 57.81116, Height = 55.043219, Number of Points = 54.573477, Distribution Seed = 93.576052, Mesh Relaxation = 0.906686, Smooth Level = 1, 	167
Pensiveness, Sadness, Grief, Loathing, Disgust, Boredom, Rage, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	 Horizontal Circulation,         	X LENGTH = 10.786488, Y Length = 94.536718, Height = 47.941846, Number of Points = 82.087918, Distribution Seed = 69.89339, Mesh Relaxation = 0.583356, Smooth Level = 1, 	168
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Focus, 	 Horizontal Circulation,         	X LENGTH = 74.107552, Y Length = 43.313641, Height = 69.637975, Number of Points = 20.54654, Distribution Seed = 84.775492, Mesh Relaxation = 0.025327, Smooth Level = 1, 	169
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Anger, Annoyance, Amazement, Anticipation, Focus, 	Habitation,  Vertical Circulation, Facilities, Work,    Arts Space,  	X LENGTH = 94.457666, Y Length = 59.985524, Height = 96.452477, Number of Points = 79.143418, Distribution Seed = 18.661689, Mesh Relaxation = 0.888772, Smooth Level = 1, 	170
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	Habitation,   Facilities, Work,      	X LENGTH = 74.864855, Y Length = 74.122057, Height = 50.348771, Number of Points = 89.204402, Distribution Seed = 80.241537, Mesh Relaxation = 0.877068, Smooth Level = 1, 	171
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Rage, Fear, Annoyance, Amazement, Surprise, Distraction, 	Habitation,   Facilities, Work,    Arts Space,  	X LENGTH = 17.790167, Y Length = 33.008801, Height = 99.321968, Number of Points = 42.558398, Distribution Seed = 98.513473, Mesh Relaxation = 0.3377, Smooth Level = 2, 	172
Pensiveness, Sadness, Grief, Loathing, Trust, Boredom, Rage, Fear, Apprehension, Vigilance, Surprise, Distraction, 	 Horizontal Circulation,         	X LENGTH = 82.273024, Y Length = 85.025566, Height = 72.94958, Number of Points = 80.225314, Distribution Seed = 4.126601, Mesh Relaxation = 0.780785, Smooth Level = 1, 	173
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Rage, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	 Horizontal Circulation,         	X LENGTH = 12.60291, Y Length = 14.430776, Height = 31.781467, Number of Points = 58.587467, Distribution Seed = 25.535639, Mesh Relaxation = 0.153831, Smooth Level = 2, 	174
Pensiveness, Sadness, Grief, Loathing, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	 Horizontal Circulation,         	X LENGTH = 69.886808, Y Length = 38.815614, Height = 91.650078, Number of Points = 21.785088, Distribution Seed = 63.064856, Mesh Relaxation = 0.89765, Smooth Level = 1, 	175
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Anger, Apprehension, Amazement, Anticipation, Distraction, 	          	X LENGTH = 90.856111, Y Length = 41.67574, Height = 19.411957, Number of Points = 53.203764, Distribution Seed = 73.894626, Mesh Relaxation = 0.449538, Smooth Level = 1, 	176
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Focus, 	Habitation,    Work,      	X LENGTH = 32.1298, Y Length = 99.157525, Height = 19.546957, Number of Points = 83.857691, Distribution Seed = 93.997274, Mesh Relaxation = 0.840814, Smooth Level = 1, 	177
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Rage, Anger, Annoyance, Amazement, Anticipation, Focus, 	Habitation, Horizontal Circulation,   Work,      	X LENGTH = 99.838919, Y Length = 92.402075, Height = 56.696433, Number of Points = 91.904903, Distribution Seed = 40.622306, Mesh Relaxation = 0.550905, Smooth Level = 2, 	178
Pensiveness, Joy, Grief, Loathing, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation, Horizontal Circulation,  Facilities, Work, Exhibiting,  Meditation and Reading, Arts Space,  	X LENGTH = 36.735964, Y Length = 25.224748, Height = 72.355208, Number of Points = 72.534204, Distribution Seed = 20.434996, Mesh Relaxation = 0.000863, Smooth Level = 1, 	179
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Anger, Apprehension, Amazement, Surprise, Focus, 	  Vertical Circulation,        	X LENGTH = 78.700974, Y Length = 39.238816, Height = 47.34594, Number of Points = 18.99442, Distribution Seed = 79.42896, Mesh Relaxation = 0.112913, Smooth Level = 1, 	180
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	Habitation,          	X LENGTH = 16.201717, Y Length = 64.781459, Height = 54.32688, Number of Points = 43.020383, Distribution Seed = 82.061447, Mesh Relaxation = 0.802682, Smooth Level = 2, 	181
Pensiveness, Sadness, Grief, Loathing, Disgust, Boredom, Rage, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation, Horizontal Circulation,   Work,      	X LENGTH = 10.355599, Y Length = 95.767792, Height = 77.328377, Number of Points = 60.323768, Distribution Seed = 39.375962, Mesh Relaxation = 0.064516, Smooth Level = 1, 	182
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	 Horizontal Circulation,         	X LENGTH = 45.234949, Y Length = 54.268788, Height = 66.020866, Number of Points = 49.953615, Distribution Seed = 28.758503, Mesh Relaxation = 0.135771, Smooth Level = 1, 	183
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Anger, Apprehension, Amazement, Anticipation, Focus, 	Habitation,   Facilities, Work,   Meditation and Reading, Arts Space,  	X LENGTH = 54.052014, Y Length = 99.769836, Height = 85.538101, Number of Points = 20.622512, Distribution Seed = 57.803495, Mesh Relaxation = 0.274608, Smooth Level = 2, 	184
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,    Work,      	X LENGTH = 16.490005, Y Length = 87.819966, Height = 18.018367, Number of Points = 86.147268, Distribution Seed = 77.201274, Mesh Relaxation = 0.198186, Smooth Level = 1, 	185
Pensiveness, Sadness, Ecstasy, Admiration, Disgust, Boredom, Rage, Fear, Annoyance, Amazement, Surprise, Distraction, 	  Vertical Circulation,        	X LENGTH = 79.834465, Y Length = 21.572501, Height = 78.069321, Number of Points = 56.540508, Distribution Seed = 92.351888, Mesh Relaxation = 0.838941, Smooth Level = 1, 	186
Pensiveness, Sadness, Grief, Loathing, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation, Horizontal Circulation,         	X LENGTH = 37.185823, Y Length = 23.079597, Height = 82.563444, Number of Points = 62.53304, Distribution Seed = 30.663722, Mesh Relaxation = 0.778753, Smooth Level = 1, 	187
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	  Vertical Circulation,        	X LENGTH = 87.798183, Y Length = 22.763999, Height = 34.062318, Number of Points = 57.937392, Distribution Seed = 41.110553, Mesh Relaxation = 0.046251, Smooth Level = 1, 	188
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Rage, Fear, Annoyance, Vigilance, Surprise, Distraction, 	  Vertical Circulation,        	X LENGTH = 82.018278, Y Length = 56.522831, Height = 73.147566, Number of Points = 9.934223, Distribution Seed = 13.675018, Mesh Relaxation = 0.673651, Smooth Level = 2, 	189
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Focus, 	 Horizontal Circulation,         	X LENGTH = 67.916708, Y Length = 13.8035, Height = 71.508288, Number of Points = 49.917867, Distribution Seed = 79.433647, Mesh Relaxation = 0.64521, Smooth Level = 2, 	190
Pensiveness, Joy, Grief, Loathing, Trust, Boredom, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation,        	X LENGTH = 25.560914, Y Length = 35.56584, Height = 80.758166, Number of Points = 40.182308, Distribution Seed = 54.469371, Mesh Relaxation = 0.677094, Smooth Level = 2, 	191
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	  Vertical Circulation,        	X LENGTH = 60.913165, Y Length = 19.230821, Height = 84.625449, Number of Points = 37.172558, Distribution Seed = 75.296601, Mesh Relaxation = 0.391227, Smooth Level = 1, 	192
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	  Vertical Circulation,        	X LENGTH = 87.298542, Y Length = 40.028198, Height = 97.107778, Number of Points = 12.141506, Distribution Seed = 31.286629, Mesh Relaxation = 0.720376, Smooth Level = 2, 	193
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Anger, Apprehension, Amazement, Surprise, Focus, 	Habitation, Horizontal Circulation,  Facilities, Work, Exhibiting,  Meditation and Reading, Arts Space,  	X LENGTH = 56.991836, Y Length = 32.383944, Height = 83.980065, Number of Points = 64.321676, Distribution Seed = 71.318487, Mesh Relaxation = 0.29501, Smooth Level = 1, 	194
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Anger, Apprehension, Amazement, Anticipation, Distraction, 	Habitation,  Vertical Circulation,        	X LENGTH = 88.583257, Y Length = 36.010002, Height = 56.882701, Number of Points = 40.278218, Distribution Seed = 35.182251, Mesh Relaxation = 0.331285, Smooth Level = 2, 	195
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Focus, 	Habitation,          	X LENGTH = 37.360646, Y Length = 59.333793, Height = 28.259133, Number of Points = 52.212098, Distribution Seed = 7.486944, Mesh Relaxation = 0.585289, Smooth Level = 1, 	196
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,          	X LENGTH = 85.704562, Y Length = 79.089057, Height = 49.218139, Number of Points = 66.804153, Distribution Seed = 50.384491, Mesh Relaxation = 0.468592, Smooth Level = 1, 	197
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Rage, Fear, Annoyance, Vigilance, Anticipation, Distraction, 	  Vertical Circulation,        	X LENGTH = 97.424159, Y Length = 57.191616, Height = 58.132412, Number of Points = 25.363697, Distribution Seed = 92.653829, Mesh Relaxation = 0.984112, Smooth Level = 2, 	198
Pensiveness, Sadness, Grief, Loathing, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	 Horizontal Circulation,         	X LENGTH = 25.083708, Y Length = 20.870265, Height = 77.937795, Number of Points = 46.330246, Distribution Seed = 64.104871, Mesh Relaxation = 0.864534, Smooth Level = 1, 	199
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	 Horizontal Circulation,         	X LENGTH = 60.375565, Y Length = 94.266873, Height = 11.516392, Number of Points = 82.02732, Distribution Seed = 80.040644, Mesh Relaxation = 0.345174, Smooth Level = 2, 	200
Pensiveness, Sadness, Grief, Loathing, Trust, Boredom, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	          	X LENGTH = 15.438179, Y Length = 46.463088, Height = 21.467079, Number of Points = 86.761062, Distribution Seed = 64.070684, Mesh Relaxation = 0.945879, Smooth Level = 1, 	201
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Focus, 	  Vertical Circulation,        	X LENGTH = 28.030614, Y Length = 29.700538, Height = 51.764567, Number of Points = 79.288551, Distribution Seed = 92.743203, Mesh Relaxation = 0.182432, Smooth Level = 2, 	202
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation,        	X LENGTH = 23.86205, Y Length = 45.827946, Height = 74.707968, Number of Points = 53.937429, Distribution Seed = 49.323345, Mesh Relaxation = 0.271408, Smooth Level = 1, 	203
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	  Vertical Circulation,        	X LENGTH = 37.836989, Y Length = 35.584539, Height = 81.723105, Number of Points = 29.891262, Distribution Seed = 64.734857, Mesh Relaxation = 0.826935, Smooth Level = 2, 	204
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Anger, Apprehension, Amazement, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 86.780899, Y Length = 67.448952, Height = 98.640544, Number of Points = 44.629484, Distribution Seed = 14.875583, Mesh Relaxation = 0.023991, Smooth Level = 1, 	205
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Rage, Anger, Apprehension, Amazement, Surprise, Focus, 	Habitation,          	X LENGTH = 77.369859, Y Length = 78.794622, Height = 24.546513, Number of Points = 65.240147, Distribution Seed = 7.549945, Mesh Relaxation = 0.985029, Smooth Level = 1, 	206
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	Habitation,   Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 85.643968, Y Length = 86.428174, Height = 53.766417, Number of Points = 40.363247, Distribution Seed = 30.071367, Mesh Relaxation = 0.227687, Smooth Level = 2, 	207
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,          	X LENGTH = 59.488044, Y Length = 41.396844, Height = 95.469254, Number of Points = 36.846848, Distribution Seed = 41.98943, Mesh Relaxation = 0.851926, Smooth Level = 2, 	208
Pensiveness, Sadness, Grief, Loathing, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	 Horizontal Circulation,         	X LENGTH = 30.19756, Y Length = 10.304057, Height = 46.639869, Number of Points = 77.964162, Distribution Seed = 96.180645, Mesh Relaxation = 0.751823, Smooth Level = 1, 	209
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Rage, Anger, Annoyance, Amazement, Anticipation, Focus, 	          	X LENGTH = 87.130015, Y Length = 52.525754, Height = 22.44582, Number of Points = 91.439003, Distribution Seed = 84.0925, Mesh Relaxation = 0.464201, Smooth Level = 1, 	210
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation, Horizontal Circulation,  Facilities, Work,   Meditation and Reading, Arts Space,  	X LENGTH = 37.415642, Y Length = 32.947567, Height = 81.573442, Number of Points = 67.042021, Distribution Seed = 1.553037, Mesh Relaxation = 0.21858, Smooth Level = 1, 	211
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Distraction, 	          	X LENGTH = 95.968051, Y Length = 40.780522, Height = 13.784703, Number of Points = 73.168536, Distribution Seed = 27.383861, Mesh Relaxation = 0.524241, Smooth Level = 1, 	212
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,          	X LENGTH = 13.30608, Y Length = 38.802178, Height = 49.909917, Number of Points = 79.507663, Distribution Seed = 52.356357, Mesh Relaxation = 0.976824, Smooth Level = 2, 	213
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	 Horizontal Circulation,         	X LENGTH = 63.063957, Y Length = 79.356867, Height = 84.589963, Number of Points = 11.20653, Distribution Seed = 33.148805, Mesh Relaxation = 0.946672, Smooth Level = 1, 	214
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Rage, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	          	X LENGTH = 13.369015, Y Length = 41.076682, Height = 25.262693, Number of Points = 42.405988, Distribution Seed = 57.626461, Mesh Relaxation = 0.777915, Smooth Level = 1, 	215
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	 Horizontal Circulation,         	X LENGTH = 83.415273, Y Length = 99.393143, Height = 51.252569, Number of Points = 45.924341, Distribution Seed = 53.44017, Mesh Relaxation = 0.9519, Smooth Level = 1, 	216
Pensiveness, Sadness, Grief, Loathing, Disgust, Boredom, Terror, Fear, Annoyance, Vigilance, Anticipation, Distraction, 	 Horizontal Circulation,         	X LENGTH = 15.001117, Y Length = 18.561436, Height = 16.548766, Number of Points = 63.472341, Distribution Seed = 32.548903, Mesh Relaxation = 0.850803, Smooth Level = 1, 	217
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Rage, Anger, Apprehension, Amazement, Surprise, Focus, 	          	X LENGTH = 71.952021, Y Length = 36.384978, Height = 54.125835, Number of Points = 92.415494, Distribution Seed = 13.221731, Mesh Relaxation = 0.041964, Smooth Level = 1, 	218
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Anger, Annoyance, Amazement, Anticipation, Focus, 	Habitation,   Facilities, Work,   Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 87.828358, Y Length = 77.53674, Height = 57.290251, Number of Points = 33.197792, Distribution Seed = 39.457148, Mesh Relaxation = 0.156119, Smooth Level = 2, 	219
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,   Facilities, Work,    Arts Space,  	X LENGTH = 39.426325, Y Length = 57.685766, Height = 56.489115, Number of Points = 56.444663, Distribution Seed = 27.739489, Mesh Relaxation = 0.475708, Smooth Level = 1, 	220
Pensiveness, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Distraction, 	  Vertical Circulation,        	X LENGTH = 68.235561, Y Length = 29.940294, Height = 70.30112, Number of Points = 24.797795, Distribution Seed = 23.010218, Mesh Relaxation = 0.981253, Smooth Level = 1, 	221
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Rage, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,          	X LENGTH = 10.049416, Y Length = 28.761127, Height = 44.577535, Number of Points = 95.493832, Distribution Seed = 54.743889, Mesh Relaxation = 0.342625, Smooth Level = 1, 	222
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Rage, Anger, Apprehension, Amazement, Surprise, Focus, 	 Horizontal Circulation,         	X LENGTH = 62.983627, Y Length = 92.960961, Height = 40.613149, Number of Points = 50.53031, Distribution Seed = 18.240561, Mesh Relaxation = 0.780479, Smooth Level = 1, 	223
Pensiveness, Sadness, Grief, Loathing, Trust, Boredom, Rage, Anger, Apprehension, Amazement, Anticipation, Distraction, 	Habitation,  Vertical Circulation,        	X LENGTH = 92.518367, Y Length = 74.085386, Height = 98.23612, Number of Points = 29.534974, Distribution Seed = 32.971707, Mesh Relaxation = 0.703098, Smooth Level = 2, 	224
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Anger, Apprehension, Amazement, Anticipation, Focus, 	 Horizontal Circulation,         	X LENGTH = 82.722493, Y Length = 20.533667, Height = 66.110204, Number of Points = 30.723322, Distribution Seed = 77.861066, Mesh Relaxation = 0.398569, Smooth Level = 1, 	225
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Rage, Fear, Annoyance, Amazement, Surprise, Distraction, 	Habitation,          	X LENGTH = 80.735135, Y Length = 33.803007, Height = 46.765782, Number of Points = 54.319484, Distribution Seed = 87.950915, Mesh Relaxation = 0.502184, Smooth Level = 1, 	226
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	 Horizontal Circulation,         	X LENGTH = 90.807148, Y Length = 12.865761, Height = 76.24574, Number of Points = 66.425411, Distribution Seed = 73.524409, Mesh Relaxation = 0.715002, Smooth Level = 2, 	227
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	          	X LENGTH = 50.433643, Y Length = 37.694754, Height = 25.057391, Number of Points = 33.009065, Distribution Seed = 85.173132, Mesh Relaxation = 0.828547, Smooth Level = 1, 	228
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	  Vertical Circulation,        	X LENGTH = 69.714546, Y Length = 59.741345, Height = 18.172344, Number of Points = 34.031204, Distribution Seed = 11.273482, Mesh Relaxation = 0.929486, Smooth Level = 2, 	229
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Amazement, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 86.401631, Y Length = 81.719474, Height = 95.372917, Number of Points = 76.485176, Distribution Seed = 23.218294, Mesh Relaxation = 0.513395, Smooth Level = 1, 	230
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	          	X LENGTH = 16.281412, Y Length = 34.885657, Height = 21.203537, Number of Points = 92.895611, Distribution Seed = 46.469865, Mesh Relaxation = 0.747849, Smooth Level = 1, 	231
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	  Vertical Circulation,        	X LENGTH = 57.575302, Y Length = 41.519939, Height = 74.127342, Number of Points = 91.976148, Distribution Seed = 62.371391, Mesh Relaxation = 0.793592, Smooth Level = 1, 	232
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Anger, Apprehension, Amazement, Surprise, Focus, 	Habitation,  Vertical Circulation, Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 62.368275, Y Length = 94.473622, Height = 97.72641, Number of Points = 50.173622, Distribution Seed = 64.778637, Mesh Relaxation = 0.520342, Smooth Level = 1, 	233
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Focus, 	Habitation,   Facilities, Work,      	X LENGTH = 42.942045, Y Length = 99.984847, Height = 36.554937, Number of Points = 70.233042, Distribution Seed = 73.767035, Mesh Relaxation = 0.573305, Smooth Level = 1, 	234
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Anger, Apprehension, Amazement, Surprise, Focus, 	Habitation,  Vertical Circulation, Facilities, Work,   Meditation and Reading, Arts Space,  	X LENGTH = 97.220932, Y Length = 56.426821, Height = 75.136991, Number of Points = 85.669887, Distribution Seed = 84.973811, Mesh Relaxation = 0.400425, Smooth Level = 2, 	235
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,    Work,      	X LENGTH = 41.596173, Y Length = 44.633312, Height = 36.440891, Number of Points = 64.067398, Distribution Seed = 98.978165, Mesh Relaxation = 0.471898, Smooth Level = 2, 	236
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Focus, 	  Vertical Circulation,        	X LENGTH = 57.423072, Y Length = 32.977448, Height = 41.194824, Number of Points = 14.428278, Distribution Seed = 73.645962, Mesh Relaxation = 0.69942, Smooth Level = 2, 	237
Pensiveness, Sadness, Grief, Loathing, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,   Facilities, Work,    Arts Space,  	X LENGTH = 30.244303, Y Length = 80.398272, Height = 78.199884, Number of Points = 96.49781, Distribution Seed = 45.215692, Mesh Relaxation = 0.894659, Smooth Level = 1, 	238
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Rage, Anger, Apprehension, Vigilance, Anticipation, Distraction, 	 Horizontal Circulation,         	X LENGTH = 10.384845, Y Length = 85.435283, Height = 18.459133, Number of Points = 30.171365, Distribution Seed = 45.073554, Mesh Relaxation = 0.052754, Smooth Level = 1, 	239
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Anger, Apprehension, Amazement, Anticipation, Distraction, 	 Horizontal Circulation,         	X LENGTH = 54.121478, Y Length = 96.552345, Height = 63.83883, Number of Points = 8.889932, Distribution Seed = 62.754856, Mesh Relaxation = 0.605634, Smooth Level = 2, 	240
Pensiveness, Sadness, Grief, Loathing, Trust, Boredom, Rage, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,    Work,      	X LENGTH = 10.924263, Y Length = 89.776051, Height = 18.547212, Number of Points = 63.154877, Distribution Seed = 56.360812, Mesh Relaxation = 0.330963, Smooth Level = 1, 	241
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Focus, 	 Horizontal Circulation,         	X LENGTH = 49.461388, Y Length = 89.561303, Height = 44.269419, Number of Points = 31.718438, Distribution Seed = 93.687786, Mesh Relaxation = 0.362123, Smooth Level = 1, 	242
